THREAD 486674432: 6 moves possible after move #6; creating threads
THREAD 485601280: 5 moves possible after move #6; creating threads
THREAD 487211008: 5 moves possible after move #7; creating threads
THREAD 487747584: 7 moves possible after move #6; creating threads
THREAD 488284160: 7 moves possible after move #6; creating threads
THREAD 432480256: 7 moves possible after move #5; creating threads
THREAD 489357312: 3 moves possible after move #6; creating threads
THREAD 488820736: 7 moves possible after move #7; creating threads
THREAD 489893888: 6 moves possible after move #7; creating threads
THREAD 490430464: 3 moves possible after move #6; creating threads
THREAD 490967040: 3 moves possible after move #6; creating threads
THREAD 491503616: 5 moves possible after move #7; creating threads
THREAD 492040192: 2 moves possible after move #5; creating threads
THREAD 433016832: 2 moves possible after move #6; creating threads
